cnpj_informado;razao_social;nome_fantasia;situacao_cadastral;uf;status_consulta
00000000000191;BANCO DO BRASIL SA;DIRECAO GERAL;ATIVA;DF;SUCESSO
33000167000101;PETROLEO BRASILEIRO S A PETROBRAS;PETROBRAS - EDISE;ATIVA;RJ;SUCESSO
60701190000104;ITAU UNIBANCO S.A.;ITAU UNIBANCO;ATIVA;SP;SUCESSO
07526557000100;AMBEV S.A.;NÃO INFORMADO;ATIVA;SP;SUCESSO
00360305000104;CAIXA ECONOMICA FEDERAL;CEF MATRIZ;ATIVA;DF;SUCESSO
33592510000154;VALE S.A.;NÃO INFORMADO;ATIVA;RJ;SUCESSO
11111111111111;N/A;N/A;N/A;N/A;ERRO HTTP: Código 400
12345;N/A;N/A;N/A;N/A;ERRO: Formato de CNPJ inválido (deve conter 14 dígitos)
02558157000162;TELEFONICA BRASIL S.A.;NÃO INFORMADO;ATIVA;SP;SUCESSO
47960950000121;MAGAZINE LUIZA S/A;MAGAZINE LUIZA;ATIVA;SP;SUCESSO
